"","PrimaryCodes"
"1","7213"
"2","73730"
"3","7244"
"4","71941"
"5","7384"
"6","7391"
"7","7245"
"8","7224"
"9","72610"
"10","71945"
"11","71947"
"12","7210"
"13","7393"
"14","7234"
"15","71515"
"16","7350"
"17","7172"
"18","7100"
"19","7291"
"20","7262"
"21","72271"
"22","72871"
"23","7271"
"24","7230"
"25","7392"
"26","7241"
"27","7211"
"28","73008"
"29","73382"
"30","7177"
"31","7243"
"32","71943"
"33","72290"
"34","73301"
"35","72761"
"36","7354"
"37","73390"
"38","71594"
"39","72403"
"40","72691"
"41","72190"
"42","73300"
"43","7265"
"44","72703"
"45","72885"
"46","7173"
"47","72705"
"48","72671"
"49","7352"
"50","71846"
"51","71887"
"52","7394"
"53","72741"
"54","72887"
"55","72981"
"56","71511"
"57","72273"
"58","7260"
"59","7246"
"60","72632"
"61","72613"
"62","73679"
"63","72704"
"64","71940"
"65","72283"
"66","7395"
"67","73020"
"68","72743"
"69","71783"
"70","72293"
"71","7202"
"72","72272"
"73","71942"
"74","7248"
"75","71106"
"76","71906"
"77","71740"
"78","72989"
"79","7197"
"80","7380"
"81","71944"
"82","73007"
"83","71881"
"84","72886"
"85","7383"
"86","71617"
"87","72619"
"88","72665"
"89","72400"
"90","72783"
"91","73392"
"92","71590"
"93","71513"
"94","72740"
"95","71956"
"96","73017"
"97","72690"
"98","72742"
"99","7218"
"100","71801"
"101","73028"
"102","73672"
"103","7322"
"104","71504"
"105","72679"
"106","71743"
"107","7179"
"108","71103"
"109","72706"
"110","72762"
"111","7292"
"112","72672"
"113","71514"
"114","7209"
"115","72700"
"116","7233"
"117","71616"
"118","72211"
"119","7149"
"120","72673"
"121","71831"
"122","72664"
"123","7336"
"124","73381"
"125","7176"
"126","7358"
"127","71690"
"128","71589"
"129","73320"
"130","71102"
"131","72709"
"132","7232"
"133","71836"
"134","7327"
"135","734"
"136","73313"
"137","72291"
"138","73639"
"139","73342"
"140","7212"
"141","71742"
"142","72633"
"143","7279"
"144","71841"
"145","72767"
"146","72479"
"147","7296"
"148","73394"
"149","7109"
"150","72280"
"151","7366"
"152","71856"
"153","72982"
"154","72768"
"155","72611"
"156","72889"
"157","72670"
"158","73399"
"159","72781"
"160","71844"
"161","73732"
"162","7200"
"163","7238"
"164","7235"
"165","71517"
"166","72631"
"167","7390"
"168","71526"
"169","71883"
"170","71837"
"171","72612"
"172","72789"
"173","72971"
"174","72251"
"175","71886"
"176","7324"
"177","73321"
"178","73673"
"179","71985"
"180","7175"
"181","71107"
"182","7101"
"183","71885"
"184","7351"
"185","7286"
"186","71951"
"187","71916"
"188","71650"
"189","71812"
"190","72939"
"191","71847"
"192","7102"
"193","72751"
"194","73395"
"195","72765"
"196","71527"
"197","7273"
"198","71907"
"199","73396"
"200","7226"
"201","7171"
"202","7289"
"203","72660"
"204","71534"
"205","7361"
"206","72990"
"207","725"
"208","71749"
"209","71789"
"210","73329"
"211","7388"
"212","7325"
"213","72930"
"214","7222"
"215","7239"
"216","72142"
"217","73670"
"218","72661"
"219","71955"
"220","71926"
"221","7329"
"222","72972"
"223","71521"
"224","71500"
"225","7282"
"226","7170"
"227","7249"
"228","71430"
"229","71842"
"230","72292"
"231","71785"
"232","7284"
"233","71877"
"234","73676"
"235","7355"
"236","71817"
"237","71489"
"238","7397"
"239","7396"
"240","71845"
"241","73641"
"242","71965"
"243","72760"
"244","71512"
"245","7264"
"246","7294"
"247","71921"
"248","72702"
"249","73689"
"250","71805"
"251","73349"
"252","72769"
"253","73311"
"254","71849"
"255","72931"
"256","7359"
"257","71901"
"258","72999"
"259","71612"
"260","7398"
"261","73621"
"262","71987"
"263","71509"
"264","73000"
"265","72879"
"266","73393"
"267","72749"
"268","71986"
"269","73710"
"270","7290"
"271","71884"
"272","7379"
"273","73675"
"274","73739"
"275","71905"
"276","72141"
"277","72888"
"278","7201"
"279","73631"
"280","72669"
"281","71432"
"282","7399"
"283","7285"
"284","73340"
"285","71957"
"286","71811"
"287","71660"
"288","73319"
"289","71100"
"290","71614"
"291","71834"
"292","71954"
"293","73310"
"294","73681"
"295","71803"
"296","72281"
"297","73620"
"298","71900"
"299","71902"
"300","73309"
"301","7141"
"302","7385"
"303","72763"
"304","71687"
"305","72883"
"306","71904"
"307","71827"
"308","7321"
"309","72470"
"310","71908"
"311","71857"
"312","71615"
"313","72639"
"314","71911"
"315","7386"
"316","73671"
"317","71903"
"318","71914"
"319","71854"
"320","71981"
"321","72882"
"322","71646"
"323","73720"
"324","72992"
"325","71929"
"326","72991"
"327","72401"
"328","7378"
"329","72884"
"330","7387"
"331","73734"
"332","72782"
"333","7142"
"334","73314"
"335","73632"
"336","71927"
"337","71101"
"338","71882"
"339","73819"
"340","71104"
"341","73642"
"342","7320"
"343","7353"
"344","71930"
"345","7104"
"346","7268"
"347","7108"
"348","73002"
"349","71814"
"350","71880"
"351","71851"
"352","7280"
"353","71611"
"354","73315"
"355","73010"
"356","73398"
"357","72810"
"358","71825"
"359","71784"
"360","71950"
"361","71818"
"362","71939"
"363","72701"
"364","71924"
"365","71108"
"366","7382"
"367","7272"
"368","73810"
"369","71848"
"370","71953"
"371","73302"
"372","71666"
"373","71832"
"374","71923"
"375","72282"
"376","71850"
"377","7103"
"378","7337"
"379","71910"
"380","7370"
"381","72630"
"382","7326"
"383","71925"
"384","73600"
"385","72813"
"386","7283"
"387","72232"
"388","7236"
"389","7335"
"390","71664"
"391","72191"
"392","71990"
"393","7138"
"394","71782"
"395","72979"
"396","73004"
"397","71983"
"398","7144"
"399","73011"
"400","71843"
"401","71580"
"402","73629"
"403","71649"
"404","73312"
"405","72881"
"406","73630"
"407","71283"
"408","71481"
"409","71984"
"410","7328"
"411","73303"
"412","71952"
"413","72750"
"414","72811"
"415","71855"
"416","71688"
"417","72231"
"418","7135"
"419","71530"
"420","73719"
"421","71667"
"422","71524"
"423","71917"
"424","73605"
"425","73622"
"426","7333"
"427","72089"
"428","73343"
"429","73013"
"430","71918"
"431","7323"
"432","71613"
"433","73018"
"434","71431"
"435","71510"
"436","73009"
"437","71931"
"438","73316"
"439","73731"
"440","72812"
"441","73090"
"442","73003"
"443","71620"
"444","71810"
"445","7105"
